t,q1,q2,q3,q4,q5,q6,qd6,qdd6,qd5,qdd5,qd4,qdd4,qd3,qdd3,qd2,qdd2,qd1,qdd1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0
0.008,0.0,0.0,4.48e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112,1.4,0.0,0.0,0.0,0.0
0.016,0.0,0.0,0.0001792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0224,1.4,0.0,0.0,0.0,0.0
0.024,0.0,0.0,0.0004032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0336,1.4,0.0,0.0,0.0,0.0
0.032,0.0,0.0,0.0007168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,1.4,0.0,0.0,0.0,0.0
0.04,0.0,0.0,0.00112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055999999999999994,1.4,0.0,0.0,0.0,0.0
0.048,0.0,0.0,0.0016128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0672,1.4,0.0,0.0,0.0,0.0
0.056,0.0,0.0,0.0021952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0784,1.4,0.0,0.0,0.0,0.0
0.064,0.0,0.0,0.0028672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0896,1.4,0.0,0.0,0.0,0.0
0.07200000000000001,0.0,0.0,0.0036288000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1008,1.4,0.0,0.0,0.0,0.0
0.08,0.0,0.0,0.00448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11199999999999999,1.4,0.0,0.0,0.0,0.0
0.088,0.0,0.0,0.005420799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12319999999999999,1.4,0.0,0.0,0.0,0.0
0.096,0.0,0.0,0.0064512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,1.4,0.0,0.0,0.0,0.0
0.10400000000000001,0.0,0.0,0.007571200000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1456,1.4,0.0,0.0,0.0,0.0
0.112,0.0,0.0,0.0087808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1568,1.4,0.0,0.0,0.0,0.0
0.12,0.0,0.0,0.010079999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16799999999999998,1.4,0.0,0.0,0.0,0.0
0.128,0.0,0.0,0.0114688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1792,1.4,0.0,0.0,0.0,0.0
0.136,0.0,0.0,0.0129472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904,1.4,0.0,0.0,0.0,0.0
0.14400000000000002,0.0,0.0,0.014515200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2016,1.4,0.0,0.0,0.0,0.0
0.152,0.0,0.0,0.016172799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2128,1.4,0.0,0.0,0.0,0.0
0.16,0.0,0.0,0.01792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22399999999999998,1.4,0.0,0.0,0.0,0.0
0.168,0.0,0.0,0.0197568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352,1.4,0.0,0.0,0.0,0.0
0.176,0.0,0.0,0.021683199999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24639999999999998,1.4,0.0,0.0,0.0,0.0
0.184,0.0,0.0,0.023699199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2576,1.4,0.0,0.0,0.0,0.0
0.192,0.0,0.0,0.0258048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2688,1.4,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.028000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,1.4,0.0,0.0,0.0,0.0
0.20800000000000002,0.0,0.0,0.030284800000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2912,1.4,0.0,0.0,0.0,0.0
0.216,0.0,0.0,0.03265919999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024,1.4,0.0,0.0,0.0,0.0
0.224,0.0,0.0,0.0351232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3136,1.4,0.0,0.0,0.0,0.0
0.232,0.0,0.0,0.0376768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3248,1.4,0.0,0.0,0.0,0.0
0.24,0.0,0.0,0.040319999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33599999999999997,1.4,0.0,0.0,0.0,0.0
0.248,0.0,0.0,0.043052799999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34719999999999995,1.4,0.0,0.0,0.0,0.0
0.256,0.0,0.0,0.0458752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3584,1.4,0.0,0.0,0.0,0.0
0.264,0.0,0.0,0.0487872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3696,1.4,0.0,0.0,0.0,0.0
0.272,0.0,0.0,0.0517888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3808,1.4,0.0,0.0,0.0,0.0
0.28,0.0,0.0,0.054880000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392,1.4,0.0,0.0,0.0,0.0
0.28800000000000003,0.0,0.0,0.05806080000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4032,1.4,0.0,0.0,0.0,0.0
0.296,0.0,0.0,0.06133119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41439999999999994,1.4,0.0,0.0,0.0,0.0
0.304,0.0,0.0,0.06469119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4256,1.4,0.0,0.0,0.0,0.0
0.312,0.0,0.0,0.0681408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43679999999999997,1.4,0.0,0.0,0.0,0.0
0.32,0.0,0.0,0.07168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44799999999999995,1.4,0.0,0.0,0.0,0.0
0.328,0.0,0.0,0.07530880000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4592,1.4,0.0,0.0,0.0,0.0
0.336,0.0,0.0,0.0790272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4704,1.4,0.0,0.0,0.0,0.0
0.34400000000000003,0.0,0.0,0.08283520000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48160000000000003,1.4,0.0,0.0,0.0,0.0
0.352,0.0,0.0,0.08673279999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49279999999999996,1.4,0.0,0.0,0.0,0.0
0.36,0.0,0.0,0.09072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,1.4,0.0,0.0,0.0,0.0
0.368,0.0,0.0,0.09479679999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152,1.4,0.0,0.0,0.0,0.0
0.376,0.0,0.0,0.0989632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5264,1.4,0.0,0.0,0.0,0.0
0.384,0.0,0.0,0.1032192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376,1.4,0.0,0.0,0.0,0.0
